Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Anti-Rotation,Landmine,Weight,Core,Oblique,06.gif (https://dl.airtable.com/Q5yXXob9QM6feizhmuqD_06.gif),Keep your core tight and shoulders far from your ears.,Easier: No Weight on the Bar
Arnold Press,Dumbbells,Weight,Arms,"Bicep,Shoulders",giphy-2.gif (https://dl.airtable.com/FvaObZ1SyqwBU12Wx4K7_giphy-2.gif),,
Battle Rope Wave,Rope,Plyo,"Arms,Full Body",Shoulders,giphy.gif (https://dl.airtable.com/fKSySDj7QAmjcosc221r_giphy.gif),,
Battle Rope Wave + Burpee,Rope,Plyo,Full Body,,4.Alternating-Waves3.gif (https://dl.airtable.com/KAycsO2nTJaZPQVjTl0W_4.Alternating-Waves3.gif),,Harder: Add Pushup to Burpee or Jump in the air after Burpee
Bench Press,Bar,Weight,Arms,Chest,bench-press-gif-2.gif (https://dl.airtable.com/RsRbffLcQa5o0QcvDEag_bench-press-gif-2.gif),Bar + 5LB,
Bicep Curl,"Bar,Dumbbells,Cable","Weight,Machine",Arms,Bicep,3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif (https://dl.airtable.com/Pld28NJDTyeYLcaJV7hQ_3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif),Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,
Bicycle Crunch,Body Weight,Weight,Core,,200.gif (https://dl.airtable.com/Y0JUbM2YTfe8uRz0jb5w_200.gif),"The lower the ""straight"" leg is to the ground the more challenging this exercise is.","Easier: Move Slower, Legs higher in the air
Harder: Keep shoulder blades off the ground entire time"
Bounds,Body Weight,"Cardio,Laps","Full Body,Legs","Outer Thigh,Glutes",1ea07303-2e87-4876-8e68-8944edd42173.gif (https://dl.airtable.com/EkEnZqmyR9aAqElh54PL_1ea07303-2e87-4876-8e68-8944edd42173.gif),Do laps across the room of these.,"Easier: Don't jump as high/far
Harder: Touch the ground with your opposite hand after each jump"
Box Jumps,Body Weight,Plyo,Full Body,,giphy.gif (https://dl.airtable.com/ZA0AU7h5RGyzcOQ1km9Z_giphy.gif),"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up
Harder: Jump Faster and higher boxes"
Box Toe Touch,Platform,Cardio,Legs,Glutes,workoutanniversarygif9570.gif (https://dl.airtable.com/ypibIv5pTmgfMNAJgY6J_workoutanniversarygif9570.gif),,"Easier: Don't use a box, just practice toe touch without
Harder: Increase Speed"
Broad Jump,Body Weight,"Plyo,Laps,Cardio",Legs,Glutes,Broad-Jumps-180-Degree-Twist.gif (https://dl.airtable.com/bYHQDYRDSeyzMCrhFxoT_Broad-Jumps-180-Degree-Twist.gif),"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo",
Bulgarian Split Squat,"Bar,Dumbbells",Weight,Legs,"Hamstrings,Quads",erin_stern_demonstrates_bulgarian_split_squat.gif (https://dl.airtable.com/599OAXT5SmTKCEZDTkWA_erin_stern_demonstrates_bulgarian_split_squat.gif),Use Single 30LB Dumbbell or an Olympic Bar,
Burpee,"Body Weight,Bosu Ball",Plyo,Full Body,,Burpee.gif (https://dl.airtable.com/xDZ3bhDQqG3erLNNwgyF_Burpee.gif),"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup
Harder: Speed"
Burpee Broad Jump,Body Weight,"Plyo,Laps",Full Body,,BurpeeBroadJump-1.gif (https://dl.airtable.com/e4ymuWNQqezi70M2EVpG_BurpeeBroadJump-1.gif),Do laps of these across the room if you have the space.,
Butt Kickers,Body Weight,Cardio,Legs,Glutes,1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif (https://dl.airtable.com/pUgsc0ifRCKNfXOcvkSX_1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif),"Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster"
Cable Woodchop,Cable,Weight,Core,,horizontalwoodchop.jpg (https://dl.airtable.com/hYoL9pXYRFas3KrUmyCZ_horizontalwoodchop.jpg),The movement should originate from your core not your shoulders. The arms are just the vessel,
Calf Raise,"Dumbbells,Machine",Weight,Legs,Calves,Calf-Raises-Basic.jpg (https://dl.airtable.com/SQxbpgUWQSGxagLa6JaD_Calf-Raises-Basic.jpg),"Play around with foot placement, some gyms also have machines for this",
Chest Press,Dumbbells,Weight,Arms,Chest,Dumbbell-Floor-Press.gif (https://dl.airtable.com/kyVvuwERkueuJQpV5fcT_Dumbbell-Floor-Press.gif),"You can do this lying on the ground, or on a bench top",
Close to Wide Grip Burnout,Dumbbells,Weight,Arms,Bicep,4.gif (https://dl.airtable.com/EKGDlplSbeSlC8mY2jqH_4.gif),,
Compass Jump,Body Weight,Cardio,Full Body,,3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif (https://dl.airtable.com/DVWMKACWQ2S1D1AIo75L_3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif),These can also be done with both feet on the ground.,"Easier: Both feet on the ground, or stepping instead of jumping"
Crab Crawl,Body Weight,"Cardio,Laps",Full Body,,0d08fe37-5714-486b-a786-fea0f0cfbea7.gif (https://dl.airtable.com/ATjCdKZ9QialuVzd072J_0d08fe37-5714-486b-a786-fea0f0cfbea7.gif),,
Curtsey Lunges,"Dumbbells,Bar",Weight,Legs,Inner Thigh,curtsy_lunge_barbell.gif (https://dl.airtable.com/qInmxz6RmTISdbvfQxUQ_curtsy_lunge_barbell.gif),,
Deadlift,Bar,Weight,Legs,Hamstrings,deadlift-gif-side.gif (https://dl.airtable.com/AVIUvzsDQIKF2Ab9zoWQ_deadlift-gif-side.gif),Bar + 45LB,
Deficit Squat,Platform,Weight,Legs,Glutes,dumbell-squat-from-deficit-front-view.png (https://dl.airtable.com/Je3QynAQXy8fNetseCA8_dumbell-squat-from-deficit-front-view.png),,
Donkey Kick,"Dumbbells,Band,Body Weight",Weight,Legs,Glutes,"_KneelingGluteKickBackSelf2_1_10.gif (https://dl.airtable.com/I8w2TckURdenkD5E9hXl__KneelingGluteKickBackSelf2_1_10.gif),kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif (https://dl.airtable.com/Od3Fpm51SjuPFoNp6QNh_kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif)",,"Easier: Don't use weights
Harder: Use heavy weights"
Fire Hydrant,"Band,Body Weight",Weight,Legs,"Glutes,Outer Thigh",Jen-Selters-Fire-Hydrant.gif (https://dl.airtable.com/MEMCDbjRam2VygRIDV5S_Jen-Selters-Fire-Hydrant.gif),,Harder: Place a weight behind your kneecap
Flutter Kick,Body Weight,Weight,Core,,Flutter-Kicks.gif (https://dl.airtable.com/rsRW7e2JQMSscISPxOwm_Flutter-Kicks.gif),Her neck looks like its undergoing some serious strain. Feel free to leave yours on the ground.,
Frogger,Body Weight,Plyo,Full Body,,831b594cc2767b2f_Frogger.gif (https://dl.airtable.com/LqlhafK8SdbDLhssMfVG_831b594cc2767b2f_Frogger.gif),,"Easier: Step Back instead of jumping back
Harder: Burpee"
Front-Load Squat,"Bar,Squat Rack",Weight,"Legs,Core",Glutes,front.gif (https://dl.airtable.com/u2Z55mWSQ1eZWji9mbPI_front.gif),Bar + 35LB,
Glute Bridge,"Band,Dumbbells",Weight,Legs,Glutes,a562d6f5-888c-4b4a-a274-f969c3a8557d.gif (https://dl.airtable.com/KNCrgmAZTKyppbcj7oTC_a562d6f5-888c-4b4a-a274-f969c3a8557d.gif),"If using weights, place in hip crease",
Glute Bridge March,"Band,Platform",Weight,Legs,Hamstrings,7346ca6c-b218-4a33-8fc7-f522df243390.gif (https://dl.airtable.com/CEVQMLbKSouX9GjRVXpR_7346ca6c-b218-4a33-8fc7-f522df243390.gif),,
Glute Kickback,Cable,Weight,Legs,Glutes,400x400_Wall_Pushup_Variations_One_Legged_Kickback_On_Cable_Machine.gif (https://dl.airtable.com/p6vuYylWQJlwVCoDcHNM_400x400_Wall_Pushup_Variations_One_Legged_Kickback_On_Cable_Machine.gif),,
Goblet Squat,"Kettlebells,Dumbbells",Weight,Legs,"Glutes,Quads",depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg (https://dl.airtable.com/GhZXa41TlGnE4DjPPmWA_depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg),,
Halo,"Kettlebells,Dumbbells",Weight,Arms,"Shoulders,Tricep",ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif (https://dl.airtable.com/XfsU9SRQoqRDq99IUeA2_ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif),,
Hamstring Curl,Bosu Ball,Weight,Legs,Hamstrings,bb_stability-ball_hamstring-roll-out.gif (https://dl.airtable.com/8VWf6OoQbSUCFOHhN9Ne_bb_stability-ball_hamstring-roll-out.gif),,
